  
       XFOIL         Version 6.97
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.7287   0.01306   0.00808  -0.2507   0.6607   0.0267
  -4.000   0.8508   0.01195   0.00664  -0.2527   0.6509   0.0306
  -3.000   0.9713   0.01105   0.00544  -0.2542   0.6406   0.0354
  -2.000   1.0893   0.01056   0.00481  -0.2553   0.6291   0.0423
  -1.000   1.2042   0.01046   0.00458  -0.2559   0.6167   0.0512
   0.000   1.3152   0.01047   0.00460  -0.2560   0.6026   0.0650
   1.000   1.4194   0.01077   0.00489  -0.2549   0.5873   0.0859
   2.000   1.5072   0.01134   0.00551  -0.2510   0.5703   0.1163
   3.000   1.5914   0.01254   0.00677  -0.2474   0.5511   0.1649
   4.000   1.6674   0.01442   0.00878  -0.2433   0.5286   0.2456
   5.000   1.7324   0.01719   0.01183  -0.2384   0.5031   0.4404
   7.000   1.8193   0.02559   0.02085  -0.2242   0.4456   1.0000
   8.000   1.8503   0.03147   0.02666  -0.2166   0.4163   1.0000
   9.000   1.8771   0.03803   0.03315  -0.2092   0.3886   1.0000
  10.000   1.9012   0.04509   0.04019  -0.2021   0.3629   1.0000
