  
       XFOIL         Version 6.97
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8612   0.01547   0.00957  -0.0554   0.7852   0.0378
  -9.000  -0.7492   0.01372   0.00767  -0.0570   0.7594   0.0491
  -8.000  -0.6316   0.01233   0.00618  -0.0590   0.7351   0.0636
  -7.000  -0.5106   0.01118   0.00497  -0.0612   0.7125   0.0837
  -6.000  -0.3872   0.01002   0.00388  -0.0640   0.6905   0.1242
  -5.000  -0.2599   0.00778   0.00252  -0.0691   0.6698   0.3495
  -4.000  -0.1322   0.00733   0.00215  -0.0720   0.6499   0.4267
  -3.000  -0.0050   0.00716   0.00197  -0.0747   0.6303   0.4708
  -2.000   0.1218   0.00711   0.00189  -0.0773   0.6114   0.5085
  -1.000   0.2481   0.00714   0.00187  -0.0797   0.5932   0.5334
   0.000   0.3741   0.00719   0.00193  -0.0822   0.5747   0.5558
   1.000   0.4995   0.00731   0.00206  -0.0845   0.5564   0.5785
   2.000   0.6243   0.00750   0.00228  -0.0867   0.5381   0.6015
   3.000   0.7485   0.00772   0.00257  -0.0888   0.5185   0.6249
   4.000   0.8713   0.00804   0.00293  -0.0906   0.4896   0.6487
   5.000   0.9929   0.00844   0.00342  -0.0922   0.4591   0.6730
   6.000   1.1105   0.00915   0.00411  -0.0931   0.4064   0.6976
   7.000   1.2175   0.01071   0.00537  -0.0926   0.3099   0.7228
   8.000   1.2956   0.01407   0.00803  -0.0885   0.1615   0.7489
   9.000   1.3558   0.01723   0.01095  -0.0817   0.0943   0.7766
  10.000   1.3995   0.02198   0.01566  -0.0756   0.0532   0.8072
